Title,Company,Experience,Salary,Location,Skills,Link,Skills_List,Experience_Years
dot net developer,mnc group,8-13 yrs,Not Disclosed,pune bengaluru mumbai all areas,xamarin net core aspnet core dot aspnet core net development,https://www.naukri.com/job-listings-dot-net-developer-sigma-allied-services-pune-bengaluru-mumbai-all-areas-8-to-13-years-100325020893,['xamarin net core aspnet core dot aspnet core net development'],8
dot net with reactjs,response informatics,7-9 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,ms sql javascript application development management project delivery dot development net,https://www.naukri.com/job-listings-dot-net-with-reactjs-response-informatics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-9-years-200125502672,['ms sql javascript application development management project delivery dot development net'],7
technical architect dot net,azilen,3-5 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,technical architect it services architecture enterprise architecture coding javascript net html,https://www.naukri.com/job-listings-technical-architect-dot-net-azilen-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-190924502274,['technical architect it services architecture enterprise architecture coding javascript net html'],3
lead applications developer  dot net full stack,ups supply chain solutions ups scs,6-10 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,computer science coding agile development architectural design manager technology ups net html,https://www.naukri.com/job-listings-lead-applications-developer-dot-net-full-stack-ups-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-10-years-211024502426,['computer science coding agile development architectural design manager technology ups net html'],6
dot net core full stack developers,looking one of the it company,6-11 yrs,Not Disclosed,bhubaneswar pune bengaluru,angular 8 kubernetes net core react agile cnet dot net core reactjs,https://www.naukri.com/job-listings-dot-net-core-full-stack-developers-pyramid-it-consulting-bhubaneswar-pune-bengaluru-6-to-11-years-220125021557,['angular 8 kubernetes net core react agile cnet dot net core reactjs'],6
dot net fullstack sr developer,tekskills india,5-9 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,jquery linq javascript web designing wcf unit testing ssis microsoft,https://www.naukri.com/job-listings-dot-net-fullstack-sr-developer-tekskills-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-220125502194,['jquery linq javascript web designing wcf unit testing ssis microsoft'],5
dot net  azure professional,highpoints technologies india,5-7 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,object oriented design cloud computing jquery debugging html mvc visual studio stored procedures,https://www.naukri.com/job-listings-dot-net-azure-professional-highpoints-technologies-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-210923500932,['object oriented design cloud computing jquery debugging html mvc visual studio stored procedures'],5
dot net core full stack developer,ntrix innovations,5-6 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,analytical skills html5 javascript entity framework net deployment test cases unit testing,https://www.naukri.com/job-listings-dot-net-core-full-stack-developer-ntrix-innovations-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-130225506546,['analytical skills html5 javascript entity framework net deployment test cases unit testing'],5
dot net developer,nava software solutions,6-9 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,software architecture jquery web technologies web services javascript entity framework stored procedures mvc,https://www.naukri.com/job-listings-dot-net-developer-nava-software-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-110423500597,['software architecture jquery web technologies web services javascript entity framework stored procedures mvc'],6
dot net core developer,tekskills india,3-7 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,automation web technologies coding cloud entity framework hr mvc aws,https://www.naukri.com/job-listings-dot-net-core-developer-tekskills-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-220125502191,['automation web technologies coding cloud entity framework hr mvc aws'],3
dot net full stack developer with azure cosmos,ducen,5-8 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,relationship management coding quality systems packaging life sciences unit testing high level design software implementation,https://www.naukri.com/job-listings-dot-net-full-stack-developer-with-azure-cosmos-ducen-it-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-100225507026,['relationship management coding quality systems packaging life sciences unit testing high level design software implementation'],5
design engineer associate,regal rexnord,1-4 yrs,Not Disclosed,pune,automation solid edge powertrain autocad aerospace pumps cad product design,https://www.naukri.com/job-listings-design-engineer-associate-regal-rexnord-pune-1-to-4-years-280325502484,['automation solid edge powertrain autocad aerospace pumps cad product design'],1
digital non  manufacturing solution lead,tata autocomp,12-20 yrs,Not Disclosed,pune,solution architecting mes solutions industry 40 digital technology digital innovation digitization digital strategy innovation,https://www.naukri.com/job-listings-digital-non-manufacturing-solution-lead-tata-autocomp-pune-12-to-20-years-210225007070,['solution architecting mes solutions industry 40 digital technology digital innovation digitization digital strategy innovation'],12
sr director talent acquisition,taskus,10-15 yrs,Not Disclosed,pune,bpo talent acquisition social media packaging ecommerce hr outsourcing customer experience,https://www.naukri.com/job-listings-sr-director-talent-acquisition-taskus-pune-10-to-15-years-140225501149,['bpo talent acquisition social media packaging ecommerce hr outsourcing customer experience'],10
dot net developer,rigved technologies,1-4 yrs,Not Disclosed,navi mumbai pune mumbai all areas,aspnet sql c web api entity framework mvc api entity,https://www.naukri.com/job-listings-dot-net-developer-rigved-technologies-navi-mumbai-pune-mumbai-all-areas-1-to-4-years-200325020002,['aspnet sql c web api entity framework mvc api entity'],1
dot net developers,anand erp india,2-7 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,assembly language six sigma javascript real time operating systems net html oracle python,https://www.naukri.com/job-listings-dot-net-developers-anand-erp-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-7-years-030119500129,['assembly language six sigma javascript real time operating systems net html oracle python'],2
dot net developer,mspring infotech,1-5 yrs,Not Disclosed,mumbai delhi hyderabad pune chennai bengaluru,server c workflow aspnet mvc windows extjs sql process associate,https://www.naukri.com/job-listings-dot-net-developer-mspring-infotech-mumbai-delhi-hyderabad-pune-chennai-bengaluru-1-to-5-years-051217500590,['server c workflow aspnet mvc windows extjs sql process associate'],1
dot net developer,moringa techsolv,2-6 yrs,Not Disclosed,mumbai navi mumbai pune,jquery web technologies user interface designing entity framework net mvc aspnet mvc interfaces,https://www.naukri.com/job-listings-dot-net-developer-moringa-techsolv-pvt-ltd-mumbai-navi-mumbai-pune-2-to-6-years-190325511068,['jquery web technologies user interface designing entity framework net mvc aspnet mvc interfaces'],2
dot net full stack developer,relq technologies,3-6 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,front end web technologies database design postgresql entity framework net aspnet json,https://www.naukri.com/job-listings-dot-net-full-stack-developer-relq-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-041224500220,['front end web technologies database design postgresql entity framework net aspnet json'],3
dot net fullstack developer,intersoft kk,4-6 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,javascript mvc sql dot net aspnet development full stack,https://www.naukri.com/job-listings-dot-net-fullstack-developer-intersoft-kk-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-010324501830,['javascript mvc sql dot net aspnet development full stack'],4
dot net mvc developer,cognota healthcare,2-7 yrs,Not Disclosed,mumbai navi mumbai pune,ms sql jquery git web technologies entity framework net svn aspnet mvc,https://www.naukri.com/job-listings-dot-net-mvc-developer-cognota-healthcare-pvt-ltd-mumbai-navi-mumbai-pune-2-to-7-years-190325510786,['ms sql jquery git web technologies entity framework net svn aspnet mvc'],2
react developer with dot net,top b2b corporate management consulting firm,5-10 yrs,9.5-19.5 lacs pa,hyderabad pune gurugram,net core net reactjs dot core development,https://www.naukri.com/job-listings-react-developer-with-dot-net-first-meridian-business-services-hyderabad-pune-gurugram-5-to-10-years-130325017719,['net core net reactjs dot core development'],5
dot net core developer,outrival software solutions,2-4 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,programming net aspnet hr mvc dot hrsd development,https://www.naukri.com/job-listings-dot-net-core-developer-outrival-software-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-040724500661,['programming net aspnet hr mvc dot hrsd development'],2
dot net fullstackdot net backend,response informatics,2-5 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,backend coding conflict resolution devops debugging javascript agile application development,https://www.naukri.com/job-listings-dot-net-fullstack-dot-net-backend-response-informatics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-060325503634,['backend coding conflict resolution devops debugging javascript agile application development'],2
dot net core developerlead,tekplay systems,3-8 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,nunit version control git cassandra development lead entity framework mongodb mvc,https://www.naukri.com/job-listings-dot-net-core-developer-lead-tekplay-systems-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-071223501071,['nunit version control git cassandra development lead entity framework mongodb mvc'],3
dot net core with react js developerlead,tekplay systems,3-8 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,nunit version control git web technologies c javascript development lead entity framework,https://www.naukri.com/job-listings-dot-net-core-with-react-js-developer-lead-tekplay-systems-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-071223501072,['nunit version control git web technologies c javascript development lead entity framework'],3
dot net full stack developer,response informatics,6-9 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,version control git nosql db2 mysql net application development wcf,https://www.naukri.com/job-listings-dot-net-full-stack-developer-response-informatics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-100125504622,['version control git nosql db2 mysql net application development wcf'],6
dot net fullstack,amakshar technology,5-8 yrs,Not Disclosed,pune bengaluru,git db2 xml mysql javascript entity framework html json,https://www.naukri.com/job-listings-dot-net-fullstack-amakshar-technology-pune-bengaluru-5-to-8-years-260225501018,['git db2 xml mysql javascript entity framework html json'],5
dot net developer,nityo infotech,7-10 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,css redis jquery azure functions figma writing aspnet debugging,https://www.naukri.com/job-listings-dot-net-developer-nityo-infotech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-10-years-040325501664,['css redis jquery azure functions figma writing aspnet debugging'],7
dot net with azuredevelopersr developertechnical architect,diverse lynx,3-8 yrs,Not Disclosed,mumbai pune chennai bengaluru,technical architect architect git agile scrum powershell devops visual studio unit testing,https://www.naukri.com/job-listings-dot-net-with-azuredeveloper-sr-developer-technical-architect-diverse-lynx-mumbai-pune-chennai-bengaluru-3-to-8-years-250221500735,['technical architect architect git agile scrum powershell devops visual studio unit testing'],3
senior software engineer,pitney bowes pbi,8-13 yrs,Not Disclosed,pune,root cause analysis automation monitoring tools production support web application continuous improvement slas technical support,https://www.naukri.com/job-listings-senior-software-engineer-pitney-bowes-india-pvt-ltd-pune-8-to-13-years-240325503175,['root cause analysis automation monitoring tools production support web application continuous improvement slas technical support'],8
fujitsu hiring_ angularjs  dot net,fujitsu,5-7 yrs,Not Disclosed,hybrid  noida pune bengaluru,dot net angular angulajs net angular cli angularjs dot,https://www.naukri.com/job-listings-fujitsu-hiring-angularjs-dot-net-fujitsu-noida-pune-bengaluru-5-to-7-years-050325018891,['dot net angular angulajs net angular cli angularjs dot'],5
dot net fullstack developer,v group inc,5-10 yrs,Not Disclosed,remote,c net core javascript aspnet blazor,https://www.naukri.com/job-listings-dot-net-fullstack-developer-v-group-inc-pune-5-to-10-years-100325020911,['c net core javascript aspnet blazor'],5
dot net developer,vrudhee solutions,2-6 yrs,Not Disclosed,mumbai nagpur thane nashik pune aurangabad,developer development dot net,https://www.naukri.com/job-listings-dot-net-developer-vrudhee-solutions-mumbai-nagpur-thane-nashik-pune-aurangabad-2-to-6-years-260820501150,['developer development dot net'],2
unit manager  human resources,bajaj financial securities limited,2-5 yrs,Not Disclosed,pune,cms proof reading story writing copy writing content writing digital marketing graphic design software wordpress,https://www.naukri.com/job-listings-unit-manager-human-resources-bajaj-financial-securities-limited-pune-2-to-5-years-100325911497,['cms proof reading story writing copy writing content writing digital marketing graphic design software wordpress'],2
dot net developer immediate joiners,kolkata noida pune mumbai bangalore hyderabad,4-9 yrs,10-20 lacs pa,hybrid  kolkata pune mumbai all areas,c dot net core net core sql dot net development core,https://www.naukri.com/job-listings-dot-net-developer-immediate-joiners-symphoni-hr-kolkata-pune-mumbai-all-areas-4-to-9-years-120225022650,['c dot net core net core sql dot net development core'],4
expeditor,godrej koerber,1-3 yrs,Not Disclosed,pune,procurement grn relationship building sheet metal production engineering mechanical final inspection mechanical engineering,https://www.naukri.com/job-listings-expeditor-godrej-koerber-pune-1-to-3-years-211024500091,['procurement grn relationship building sheet metal production engineering mechanical final inspection mechanical engineering'],1
senior software developer cnet sql erp software,index infotech india,4-5 yrs,Not Disclosed,pune,san sap sap crm ssrs data structures visual studio oracle microsoft,https://www.naukri.com/job-listings-senior-software-developer-c-net-sql-erp-software-index-infotech-india-pvt-ltd-pune-4-to-5-years-300922500449,['san sap sap crm ssrs data structures visual studio oracle microsoft'],4
unit manager  human resourcessenior un,bajaj financial securities limited,2-5 yrs,Not Disclosed,pune,cms proof reading story writing copy writing content writing digital marketing graphic design software wordpress,https://www.naukri.com/job-listings-unit-manager-human-resources-senior-un-bajaj-financial-securities-limited-pune-2-to-5-years-100325913077,['cms proof reading story writing copy writing content writing digital marketing graphic design software wordpress'],2
dot net developer amla commerce,amla commerce,2-7 yrs,Not Disclosed,nagpur pune bengaluru,c net mvc net core development dot core,https://www.naukri.com/job-listings-dot-net-developer-amla-commerce-amla-commerce-nagpur-pune-bengaluru-2-to-7-years-050325017347,['c net mvc net core development dot core'],2
dot net full stack developer,top b2b corporate management consulting firm,4-9 yrs,9-19 lacs pa,hyderabad pune gurugram,net core sql net dot net fullstack aspnet development core,https://www.naukri.com/job-listings-dot-net-full-stack-developer-first-meridian-business-services-hyderabad-pune-gurugram-4-to-9-years-120325023139,['net core sql net dot net fullstack aspnet development core'],4
dot net full stack developer,leading client,5-9 yrs,Not Disclosed,pune,net c web api postgresql sql server react angular microservices,https://www.naukri.com/job-listings-dot-net-full-stack-developer-staffice-global-private-limited-pune-5-to-9-years-040425907999,['net c web api postgresql sql server react angular microservices'],5
c sharp and dot net developer,solbeg,5-7 yrs,10-13 lacs pa,navi mumbai pune mumbai all areas,c cicd methodology git sql database orm azure development dot,https://www.naukri.com/job-listings-c-sharp-and-dot-net-developer-solbeg-navi-mumbai-pune-mumbai-all-areas-5-to-7-years-060325022093,['c cicd methodology git sql database orm azure development dot'],5
tech lead dot net  amla commerce,amla commerce,9-13 yrs,Not Disclosed,nagpur pune bengaluru,mvc c net core web api linq oops net entity framework,https://www.naukri.com/job-listings-tech-lead-dot-net-amla-commerce-amla-commerce-nagpur-pune-bengaluru-9-to-13-years-050325018497,['mvc c net core web api linq oops net entity framework'],9
dot net developer,epic tech research,5-7 yrs,Not Disclosed,hybrid  punebavdhan,net core web api postgresql formio aspnet linq mvc development,https://www.naukri.com/job-listings-dot-net-developer-epic-tech-research-pune-5-to-7-years-040425015208,['net core web api postgresql formio aspnet linq mvc development'],5
lead i  dot net fullstack,ust,5-7 yrs,Not Disclosed,pune,front end coding debugging javascript agile stored procedures microsoft troubleshooting,https://www.naukri.com/job-listings-lead-i-dot-net-fullstack-ust-pune-5-to-7-years-040425503464,['front end coding debugging javascript agile stored procedures microsoft troubleshooting'],5
dot net full stack developer with react,top b2b corporate management consulting firm,5-10 yrs,10-20 lacs pa,hyderabad pune gurugram,net core reactjs net stack net fullstack dot aspnet core,https://www.naukri.com/job-listings-dot-net-full-stack-developer-with-react-first-meridian-business-services-hyderabad-pune-gurugram-5-to-10-years-120325023176,['net core reactjs net stack net fullstack dot aspnet core'],5
dot net fullstack developer,business process outsourcing,5-9 yrs,Not Disclosed,pune gurugram,c dot net mssql aspnet angular net core typescript dot net developer,https://www.naukri.com/job-listings-dot-net-fullstack-developer-bean-hr-consulting-pune-gurugram-5-to-9-years-030425021153,['c dot net mssql aspnet angular net core typescript dot net developer'],5
dot net fullstack developer,rarr technologies,6-8 yrs,Not Disclosed,pune,payroll jquery front end architecture business analysis javascript agile html,https://www.naukri.com/job-listings-dot-net-fullstack-developer-rarr-technologies-pune-6-to-8-years-040425501507,['payroll jquery front end architecture business analysis javascript agile html'],6
dot net full stack developer leadarchitect,hitachi solutions,8-12 yrs,Not Disclosed,pune,change management coding web development agile data structures application development scrum unit testing,https://www.naukri.com/job-listings-dot-net-full-stack-developer-lead-architect-hitachi-solutions-ltd-pune-8-to-12-years-030425501067,['change management coding web development agile data structures application development scrum unit testing'],8
dot net lead architect,ducen,10-15 yrs,Not Disclosed,kochi mumbai hyderabad pune chennai coimbatore,business transformation manager technology digital strategy agile methodology life sciences risk management automotive financial services,https://www.naukri.com/job-listings-dot-net-lead-architect-ducen-it-pvt-ltd-kochi-mumbai-hyderabad-pune-chennai-coimbatore-10-to-15-years-050225501164,['business transformation manager technology digital strategy agile methodology life sciences risk management automotive financial services'],10
dot net developer testsam,trask,3-9 yrs,Not Disclosed,mumbai pune,product management software design workflow entity framework user support aspnet product design customer experience,https://www.naukri.com/job-listings-dot-net-developer-test-sam-trask-mumbai-pune-3-to-9-years-170124500185,['product management software design workflow entity framework user support aspnet product design customer experience'],3
production supervisor design engineer,maxility group,2-3 yrs,Not Disclosed,pune,assistant production supervisor production design design engineering production supervising assistance production engineering,https://www.naukri.com/job-listings-production-supervisor-design-engineer-maxility-group-pune-2-to-3-years-111224503134,['assistant production supervisor production design design engineering production supervising assistance production engineering'],2
dot net developer,neilsoft,3-5 yrs,Not Disclosed,pune,jquery front end javascript data collection entity framework html microsoft sql,https://www.naukri.com/job-listings-dot-net-developer-neilsoft-limited-pune-3-to-5-years-050822502517,['jquery front end javascript data collection entity framework html microsoft sql'],3
developer dot net,streamfix business management pvt ltd,2-5 yrs,Not Disclosed,mumbai pune,ms sql jquery vbnet c html5 javascript stored procedures bootstrap,https://www.naukri.com/job-listings-developer-dot-net-streamfix-business-management-pvt-ltd-mumbai-pune-2-to-5-years-190624501178,['ms sql jquery vbnet c html5 javascript stored procedures bootstrap'],2
dot net developer,sakshi infotech,5-10 yrs,Not Disclosed,mumbai china pune,sql server 2008 jquery coding application programming integration testing javascript unit testing aspnet mvc,https://www.naukri.com/job-listings-dot-net-developer-sakshi-infotech-solutions-mumbai-pune-china-5-to-10-years-090923500964,['sql server 2008 jquery coding application programming integration testing javascript unit testing aspnet mvc'],5
architect advanced,mphasis,10-13 yrs,Not Disclosed,pune,jquery coding web development php data structures html wcf troubleshooting,https://www.naukri.com/job-listings-architect-advanced-mphasis-limited-pune-10-to-13-years-181024501185,['jquery coding web development php data structures html wcf troubleshooting'],10
dot net developer,caliber hunt  a candidate portal,3-10 yrs,Not Disclosed,mumbai new delhi pune,net developer net development dot,https://www.naukri.com/job-listings-dot-net-developer-caliber-hunt-mumbai-new-delhi-pune-3-to-10-years-121023502513,['net developer net development dot'],3
dot net developer fullstack,caliber hunt  a candidate portal,3-6 yrs,Not Disclosed,mumbai new delhi pune,front end version control coding debugging integration testing javascript html unit testing,https://www.naukri.com/job-listings-dot-net-developer-fullstack-caliber-hunt-mumbai-new-delhi-pune-3-to-6-years-111223500976,['front end version control coding debugging integration testing javascript html unit testing'],3
dot net developer fullstack,caliber hunt  a candidate portal,3-6 yrs,Not Disclosed,mumbai pune,front end version control coding debugging integration testing javascript html unit testing,https://www.naukri.com/job-listings-dot-net-developer-fullstack-caliber-hunt-mumbai-pune-3-to-6-years-111223500975,['front end version control coding debugging integration testing javascript html unit testing'],3
dot net fullstack developer,atidan technologies,2-6 yrs,Not Disclosed,mumbai pune,soa coding database design xml debugging javascript json wcf,https://www.naukri.com/job-listings-dot-net-fullstack-developer-atidan-technologies-pvt-ltd-mumbai-pune-2-to-6-years-030424500663,['soa coding database design xml debugging javascript json wcf'],2
dot net mvccore developer,clarion technologies,6-8 yrs,6.5-15 lacs pa,remote,net core sql server aspnet mvc net net dot aspnet development,https://www.naukri.com/job-listings-dot-net-mvc-core-developer-clarion-technologies-pune-6-to-8-years-040325017793,['net core sql server aspnet mvc net net dot aspnet development'],6
dot net  mvc developer,cognota healthcare,3-8 yrs,Not Disclosed,mumbai pune,ms sql jquery web technologies aspnet mvc angularjs net mvc microsoft dot,https://www.naukri.com/job-listings-dot-net-mvc-developer-cognota-healthcare-pvt-ltd-mumbai-pune-3-to-8-years-120424502510,['ms sql jquery web technologies aspnet mvc angularjs net mvc microsoft dot'],3
dot net developer,digital crown it systems,2-5 yrs,Not Disclosed,mumbai pune,nunit web application development git database design debugging net mvc test cases,https://www.naukri.com/job-listings-dot-net-developer-digital-crown-it-systems-llp-mumbai-pune-2-to-5-years-190922500799,['nunit web application development git database design debugging net mvc test cases'],2
dot net core developer,clarion technologies,6-9 yrs,9-19 lacs pa,remote,rabbitmq net core design patterns mvc css webapi html link,https://www.naukri.com/job-listings-dot-net-core-developer-clarion-technologies-pune-6-to-9-years-040325017703,['rabbitmq net core design patterns mvc css webapi html link'],6
dot net developer,the it mind,5-10 yrs,Not Disclosed,hybrid  pune mumbai all areas,c net aspnet backend frontend middleware dot front end,https://www.naukri.com/job-listings-dot-net-developer-the-it-mind-services-pune-mumbai-all-areas-5-to-10-years-040325015795,['c net aspnet backend frontend middleware dot front end'],5
production planning engineer i,jabil circuit india,5-7 yrs,Not Disclosed,pune,usage purchase sap production planning finance supply chain solutions material control inventory control,https://www.naukri.com/job-listings-production-planning-engineer-i-jabil-circuit-pune-5-to-7-years-181124506330,['usage purchase sap production planning finance supply chain solutions material control inventory control'],5
dot net full stack developer,everexpanse,4-8 yrs,Not Disclosed,mumbai pune,computer science web application development c coding database design web development aspnet sql azure,https://www.naukri.com/job-listings-dot-net-full-stack-developer-everexpanse-mumbai-pune-4-to-8-years-040624500913,['computer science web application development c coding database design web development aspnet sql azure'],4
dot net developer,paramount health services,2-7 yrs,Not Disclosed,mumbai thane pune,sql server 2008 jquery linq rdbms entity framework json wcf stored procedures,https://www.naukri.com/job-listings-dot-net-developer-paramount-health-services-tpa-pvt-ltd-mumbai-thane-pune-2-to-7-years-110923501347,['sql server 2008 jquery linq rdbms entity framework json wcf stored procedures'],2
dot net developer,coforge,5-8 yrs,Not Disclosed,pune,css production ui development adonet bootstrap net development jquery plsql,https://www.naukri.com/job-listings-dot-net-developer-coforge-pune-5-to-8-years-020125501185,['css production ui development adonet bootstrap net development jquery plsql'],5
supv ii molding,te connectivity,2-4 yrs,Not Disclosed,pune,tpm supply chain sap renewable energy project management continuous improvement automotive monitoring,https://www.naukri.com/job-listings-supv-ii-molding-te-connectivity-india-private-limited-pune-2-to-4-years-201124501631,['tpm supply chain sap renewable energy project management continuous improvement automotive monitoring'],2
talent acquisition specialist  global enabling functions,pepsico,7-12 yrs,Not Disclosed,hyderabad,talent acquisition talent assessment talent acquisition strategies regulations compliance talent intelligence applicant tracking systems global regulations,https://www.naukri.com/job-listings-talent-acquisition-specialist-global-enabling-functions-pepsico-global-business-services-india-llp-hyderabad-7-to-12-years-260325915743,['talent acquisition talent assessment talent acquisition strategies regulations compliance talent intelligence applicant tracking systems global regulations'],7
employee experience partner,highradius,2-4 yrs,Not Disclosed,hyderabad,hr eep data analytics hr generalist hrbp kpi analysis hrsd analysis,https://www.naukri.com/job-listings-employee-experience-partner-highradius-technologies-pvt-ltd-hyderabad-2-to-4-years-240325903996,['hr eep data analytics hr generalist hrbp kpi analysis hrsd analysis'],2
leadership hiring consultant,randstad india pvt ltd,4-8 yrs,15-20 lacs pa,bengaluru,leadership hiring executive search sourcing consulting leadership searching hiring,https://www.naukri.com/job-listings-leadership-hiring-consultant-randstad-bengaluru-4-to-8-years-260325015654,['leadership hiring executive search sourcing consulting leadership searching hiring'],4
talent acquisition manager,unacademy,7-12 yrs,12-15 lacs pa,bengaluru,leadership hiring talent acquisition leadership management hiring acquisition,https://www.naukri.com/job-listings-talent-acquisition-manager-unacademy-bengaluru-7-to-12-years-280325000024,['leadership hiring talent acquisition leadership management hiring acquisition'],7
production engineer,jindal aluminium,3-5 yrs,Not Disclosed,bengaluru,product quality quality standards mechanical industrial engineering troubleshooting operations mechanical engineering preventive maintenance,https://www.naukri.com/job-listings-production-engineer-jindal-aluminium-ltd-bengaluru-3-to-5-years-240325501552,['product quality quality standards mechanical industrial engineering troubleshooting operations mechanical engineering preventive maintenance'],3
devops,infosys,3-8 yrs,Not Disclosed,bengaluru,docker devops tower scaling maven artifactory kubernetes continuous integration,https://www.naukri.com/job-listings-devops-infosys-limited-bengaluru-3-to-8-years-250325926475,['docker devops tower scaling maven artifactory kubernetes continuous integration'],3
dot net react developer  immediate  30 days,coforge,4-9 yrs,Not Disclosed,hybrid  bengaluruwhitefield,c net core reactjs mvc framework api react sql server microservices,https://www.naukri.com/job-listings-dot-net-react-developer-immediate-30-days-coforge-bengaluru-4-to-9-years-250325006624,['c net core reactjs mvc framework api react sql server microservices'],4
hiring now  dot net full stack developer  hyderabad  bangalore,teksystems,3-8 yrs,Not Disclosed,hybrid  hyderabad bengaluru,net core azure angular c dot net sql development dot,https://www.naukri.com/job-listings-hiring-now-dot-net-full-stack-developer-hyderabad-bangalore-teksystems-global-services-hyderabad-bengaluru-3-to-8-years-280325019582,['net core azure angular c dot net sql development dot'],3
applications development manager,ups supply chain solutions ups scs,5-9 yrs,Not Disclosed,kolkata mumbai new delhi hyderabad pune chennai bengaluru,core java manager quality assurance business rules ups application development technology solutions sql python,https://www.naukri.com/job-listings-applications-development-manager-ups-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-181223503060,['core java manager quality assurance business rules ups application development technology solutions sql python'],5
dot net developer,wissen infotech,5-10 yrs,Not Disclosed,bengaluru mumbai all areas,net fullstack angular c net core dot core full stack,https://www.naukri.com/job-listings-dot-net-developer-wissen-infotech-bengaluru-mumbai-all-areas-5-to-10-years-270325004522,['net fullstack angular c net core dot core full stack'],5
net core developer,infosys,5-9 yrs,Not Disclosed,bengaluru,net core net framework web services net debugging software quality assurance c rest c,https://www.naukri.com/job-listings-net-core-developer-infosys-limited-bengaluru-5-to-9-years-250325926790,['net core net framework web services net debugging software quality assurance c rest c'],5
dot net developer,first meridian business services,3-6 yrs,8-11 lacs pa,bengaluru,net core net xamarin maui development dot core,https://www.naukri.com/job-listings-dot-net-developer-firstmeridian-global-services-bengaluru-3-to-6-years-270325922889,['net core net xamarin maui development dot core'],3
dot net core developer,acviss technologies,5-8 yrs,10-18 lacs pa,bangalore bengaluru,net core net core development aspnet core net core framework angular reacts js agile methodology git,https://www.naukri.com/job-listings-dot-net-core-developer-acviss-technologies-bangalore-bengaluru-5-to-8-years-260923006090,['net core net core development aspnet core net core framework angular reacts js agile methodology git'],5
dot net developer,lussotech,8-9 yrs,Not Disclosed,bengaluru,power bi cypress crystal reports net framework net core influx db azure mssql dot net developer,https://www.naukri.com/job-listings-dot-net-developer-lussotech-bengaluru-8-to-9-years-260325007408,['power bi cypress crystal reports net framework net core influx db azure mssql dot net developer'],8
